benefit_month,county,program_type,cases,recipients,children,adults,payments,avg_payment_per_case,avg_payment_per_recipient
2024-01-01,Anderson,TANF Basic,19,35,29,7,3801.1,198.63,107.21
2024-01-01,Andrews,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Angelina,TANF Basic,27,53,41,12,5760.65,216.74,109.42
2024-01-01,Aransas,TANF Basic,11,26,19,7,2705.44,254.48,104.92
2024-01-01,Archer,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Armstrong,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Atascosa,TANF Basic,17,49,41,9,4421.63,259.94,89.46
2024-01-01,Austin,TANF Basic,1,4,3,1,446.69,420.16,103.94
2024-01-01,Bailey,TANF Basic,2,6,6,0,488.83,229.9,75.83
2024-01-01,Bandera,TANF Basic,2,3,2,1,343.45,161.53,106.55
2024-01-01,Bastrop,TANF Basic,18,29,23,6,3191.11,176.56,110.0
2024-01-01,Baylor,TANF Basic,3,9,9,0,654.24,205.13,76.11
2024-01-01,Bee,TANF Basic,10,20,17,3,2072.27,216.58,101.51
2024-01-01,Bell,TANF Basic,176,430,327,104,44513.35,252.23,103.57
2024-01-01,Bexar,TANF Basic,483,1120,902,219,113403.05,234.95,101.29
2024-01-01,Blanco,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Borden,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Bosque,TANF Basic,3,6,3,3,848.08,265.91,131.56
2024-01-01,Bowie,TANF Basic,37,77,62,16,8233.26,221.27,106.43
2024-01-01,Brazoria,TANF Basic,48,96,78,18,10114.85,211.43,105.78
2024-01-01,Brazos,TANF Basic,31,77,65,12,7264.02,235.61,93.9
2024-01-01,Brewster,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Briscoe,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Brooks,TANF Basic,6,13,10,3,1496.0,234.53,116.03
2024-01-01,Brown,TANF Basic,5,10,7,2,1131.48,212.86,117.01
2024-01-01,Burleson,TANF Basic,4,10,9,1,843.87,198.44,87.27
2024-01-01,Burnet,TANF Basic,4,8,6,1,810.16,190.51,107.72
2024-01-01,Caldwell,TANF Basic,4,10,6,3,1099.88,258.64,113.74
2024-01-01,Calhoun,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Callahan,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Cameron,TANF Basic,389,937,861,73,82189.35,211.23,87.73
2024-01-01,Camp,TANF Basic,2,5,5,0,439.32,206.61,81.78
2024-01-01,Carson,TANF Basic,1,2,2,0,183.31,172.43,85.31
2024-01-01,Cass,TANF Basic,6,12,10,2,1214.71,190.43,102.78
2024-01-01,Castro,TANF Basic,2,9,7,1,562.58,264.58,65.45
2024-01-01,Chambers,TANF Basic,5,13,9,4,1588.71,298.87,123.22
2024-01-01,Cherokee,TANF Basic,13,27,21,6,2889.81,226.52,107.59
2024-01-01,Childress,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Clay,TANF Basic,2,3,2,1,448.8,211.07,139.24
2024-01-01,Cochran,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Coke,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Coleman,TANF Basic,1,3,3,0,256.01,240.8,79.42
2024-01-01,Collin,TANF Basic,88,223,172,52,21870.03,247.85,97.86
2024-01-01,Collingsworth,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Colorado,TANF Basic,2,5,3,2,532.03,250.22,99.04
2024-01-01,Comal,TANF Basic,17,48,36,12,4691.33,275.8,97.03
2024-01-01,Comanche,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Concho,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Cooke,TANF Basic,4,9,6,2,1004.01,236.1,116.81
2024-01-01,Coryell,TANF Basic,27,67,52,14,6703.55,252.22,100.63
2024-01-01,Cottle,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Crane,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Crockett,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Crosby,TANF Basic,1,4,4,0,305.52,287.38,71.09
2024-01-01,Culberson,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dallam,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dallas,TANF Basic,580,1377,1090,290,139069.97,239.58,100.96
2024-01-01,Dawson,TANF Basic,4,8,6,1,746.95,175.65,99.32
2024-01-01,Deaf Smith,TANF Basic,9,19,17,2,1854.2,218.01,95.88
2024-01-01,Delta,TANF Basic,2,4,3,1,504.64,237.33,117.42
2024-01-01,Denton,TANF Basic,81,203,162,41,19179.34,237.37,94.45
2024-01-01,Dewitt,TANF Basic,3,6,4,2,825.96,258.97,128.12
2024-01-01,Dickens,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,Dimmit,TANF Basic,3,13,11,2,1193.64,374.25,92.58
2024-01-01,Donley,TANF Basic,1,1,1,0,127.48,119.91,118.65
2024-01-01,Duval,TANF Basic,1,2,1,1,321.32,302.24,149.53
2024-01-01,Eastland,TANF Basic,6,13,12,1,1084.07,169.95,84.08
2024-01-01,Ector,TANF Basic,36,77,68,9,7234.53,200.14,93.52
2024-01-01,Edwards,TANF Basic,0,0,0,0,0.0,0.0,0.0
2024-01-01,El Paso,TANF Basic,285,663,548,116,64753.58,227.27,97.68
2024-01-01,Ellis,TANF Basic,23,57,44,13,5965.03,255.04,104.75
2024-01-01,Erath,TANF Basic,9,16,15,1,1577.12,185.43,97.86
2024-01-01,Falls,TANF Basic,5,16,14,2,1447.54,272.31,89.82
2024-01-01,Fannin,TANF Basic,10,21,17,4,2308.26,241.24,107.42
2024-01-01,Fayette,TANF Basic,1,3,2,1,148.55,139.72,46.09
